Random,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0,6.76E-201,0,2.90E-202,0.003507154,0,0.000197773,-12569.47884,0,4.44E-16,0,3.65E-06,3.15E-05,0.998003843,0.000543843,-1.031627029,0.397900776,3.540031788,-3.862166039,-3.280077005,-10.1524857,-10.40226202,-10.53532994
time,0.267296467,0.26999177,0.369007492,0.266491489,0.276137514,0.298188806,0.297294316,0.276127253,0.274384146,0.280270019,0.281913762,0.322938933,0.314563179,0.725390038,0.627309227,0.257689342,0.254552574,0.263628235,1.211783743,1.212845426,0.804992819,1.016172051,1.339616423
worst,0,2.18E-199,0,7.51E-201,0.03603034,0,0.000830274,-12569.38913,0,4.44E-16,0,2.88E-05,0.000399247,0.99800399,0.001674434,-1.031588948,0.397971565,30.00083233,-3.859368911,-3.051563741,-10.14480136,-10.39417871,-10.52115242
best,0,1.40E-229,0,3.97E-230,3.73E-26,0,1.56E-05,-12569.48662,0,4.44E-16,0,1.53E-27,1.99E-20,0.998003838,0.000309143,-1.031628453,0.397887376,3,-3.862781743,-3.321789741,-10.15319961,-10.4029315,-10.53640245
std,0,0,0,0,0.00782922,0,0.000175709,0.016127913,0,0,0,6.29E-06,6.77E-05,2.32E-08,0.000427012,5.71E-06,2.05E-05,3.780114364,0.000752006,0.075339218,0.001473456,0.001422184,0.002888851
,,,,,,,,,,,,,,,,,,,,,,,
Logistic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0,2.25E-196,0,1.04E-199,0.005494328,0,0.00020593,-12569.48237,0,4.44E-16,0,2.64E-06,2.62E-05,0.998003845,0.000449599,-1.031627483,0.40684078,4.080044013,-3.86214148,-3.279054967,-10.15259002,-10.40225391,-10.53549056
time,0.274861665,0.276426911,0.376315536,0.272384639,0.279179473,0.303595109,0.30261024,0.282942524,0.2820293,0.286114964,0.288387933,0.32810442,0.319810629,0.740219412,0.635857759,0.262520313,0.260221376,0.267618337,1.237246094,1.239610682,0.81095643,1.020828137,1.346687465
worst,0,1.12E-194,0,5.16E-198,0.066418834,0,0.000863066,-12569.4265,0,4.44E-16,0,4.21E-05,0.000350726,0.998004161,0.001674433,-1.031613133,0.84467413,30.00017701,-3.855581184,-3.096734879,-10.14686971,-10.38896593,-10.52044061
best,0,1.40E-229,0,6.40E-234,7.63E-25,0,1.67E-06,-12569.48662,0,4.44E-16,0,1.04E-20,2.13E-26,0.998003838,0.000308844,-1.031628453,0.397887362,3,-3.862781734,-3.321718095,-10.15319918,-10.40291398,-10.53638442
std,0,0,0,0,0.014715661,0,0.000179401,0.010217353,0,0,0,6.92E-06,5.86E-05,4.53E-08,0.000274896,3.08E-06,0.062547628,5.29092233,0.001277276,0.068633973,0.001320799,0.002008934,0.002397086
