MSEWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
91,2.35E-56,2.15E-30,2.26E-56,1.64E-29,0.114191565,0,0.001400854,-12569.41459,0,4.44E-16,0,7.40E-05,0.000946176,0.998003972,0.00059605,-1.031545981,0.487774915,3.002781355,-3.812506029,-2.94348872,-10.1323284,-10.38528399,-10.52770848
92,5.82E-57,1.61E-30,1.29E-56,1.59E-29,0.114189232,0,0.001371136,-12569.4147,0,4.44E-16,0,7.20E-05,0.000944394,0.998003972,0.000596012,-1.031546745,0.487731156,3.002781091,-3.812527285,-2.946705462,-10.13235454,-10.38692812,-10.52791409
93,2.30E-58,1.16E-30,1.27E-57,1.16E-29,0.113826158,0,0.001365812,-12569.41541,0,4.44E-16,0,7.11E-05,0.000939053,0.998003972,0.000595115,-1.031547069,0.48771338,3.002778221,-3.812639255,-2.947301401,-10.13240357,-10.38695109,-10.52791603
94,4.91E-60,7.07E-31,7.05E-59,7.15E-30,0.102871751,0,0.001346186,-12569.42146,0,4.44E-16,0,7.01E-05,0.000823234,0.998003972,0.000594595,-1.031561723,0.487700199,3.00277459,-3.813218196,-2.947940117,-10.13485386,-10.38696333,-10.52792164
95,5.40E-62,2.27E-31,7.05E-59,1.71E-30,0.101854901,0,0.001341833,-12569.42147,0,4.44E-16,0,7.01E-05,0.000822991,0.998003972,0.000594309,-1.031561799,0.487693047,3.002699959,-3.81337342,-2.94903251,-10.13485943,-10.38696829,-10.5279476
96,2.48E-62,2.00E-31,2.84E-59,8.00E-31,0.101831369,0,0.001305657,-12569.42148,0,4.44E-16,0,6.97E-05,0.000817711,0.998003972,0.000594038,-1.031563162,0.487693011,3.002262592,-3.813446748,-2.949627762,-10.1348738,-10.3869683,-10.52821687
97,6.17E-63,2.04E-32,5.48E-60,7.93E-32,0.101818749,0,0.001269892,-12569.42164,0,4.44E-16,0,6.94E-05,0.00079956,0.998003968,0.000593024,-1.031563259,0.487689583,3.002255161,-3.81353273,-2.950329266,-10.13597043,-10.3869711,-10.52830441
98,5.22E-63,1.06E-32,2.02E-63,6.76E-32,0.101734074,0,0.001260154,-12569.42224,0,4.44E-16,0,6.93E-05,0.000787993,0.998003968,0.000588296,-1.03156401,0.487109128,3.002154518,-3.813634819,-2.950705671,-10.13602631,-10.38697111,-10.52830699
99,1.35E-63,2.49E-33,2.50E-64,3.26E-32,0.101732638,0,0.001260154,-12569.42336,0,4.44E-16,0,5.56E-05,0.000755405,0.998003968,0.000585444,-1.031565683,0.487105644,3.002087507,-3.81363777,-2.951398728,-10.13605039,-10.3869816,-10.52832094
100,7.17E-65,2.48E-33,1.26E-66,6.41E-33,0.101229344,0,0.001243942,-12569.42755,0,4.44E-16,0,5.55E-05,0.000749125,0.998003968,0.000584452,-1.031565868,0.485326042,3.002078236,-3.813676166,-2.953557503,-10.13610039,-10.3869817,-10.52842137
